iter	Passed	Remaining
421	2003	2743
422	2006	2737
423	2011	2732
424	2015	2727
425	2019	2721
426	2023	2715
427	2028	2710
428	2032	2704
429	2036	2699
430	2040	2693
431	2044	2688
432	2048	2682
433	2053	2677
434	2057	2672
435	2062	2667
436	2066	2661
437	2069	2656
438	2074	2650
439	2079	2646
440	2083	2640
441	2087	2634
442	2091	2630
443	2095	2624
444	2099	2618
445	2104	2614
446	2111	2611
447	2115	2606
448	2118	2600
449	2124	2596
450	2129	2591
451	2133	2586
452	2139	2583
453	2143	2578
454	2147	2572
455	2151	2566
456	2156	2562
457	2160	2556
458	2164	2551
459	2171	2549
460	2176	2544
461	2179	2538
462	2184	2534
463	2188	2528
464	2192	2522
465	2195	2516
466	2201	2512
467	2206	2508
468	2210	2503
469	2215	2498
470	2220	2494
471	2224	2488
472	2228	2482
473	2236	2482
474	2240	2476
475	2244	2471
476	2252	2469
477	2256	2464
478	2260	2459
479	2268	2457
480	2272	2452
481	2276	2446
482	2282	2442
483	2285	2436
484	2289	2431
485	2295	2427
486	2300	2423
487	2304	2417
488	2308	2412
489	2314	2408
490	2318	2403
491	2323	2398
492	2328	2394
493	2332	2389
494	2336	2383
495	2341	2379
496	2346	2375
497	2351	2369
498	2355	2364
499	2360	2360
500	2365	2355
501	2369	2350
502	2374	2345
503	2379	2341
504	2383	2336
505	2387	2330
506	2392	2326
507	2395	2320
508	2398	2313
509	2402	2308
510	2408	2304
511	2411	2298
512	2416	2293
513	2420	2288
514	2424	2283
515	2428	2278
516	2431	2271
517	2435	2266
518	2439	2261
519	2443	2255
520	2447	2250
521	2452	2245
522	2456	2240
523	2460	2235
524	2464	2229
525	2469	2225
526	2473	2219
527	2477	2214
528	2481	2209
529	2486	2204
530	2490	2199
531	2494	2194
532	2498	2189
533	2502	2184
534	2506	2178
535	2510	2173
536	2514	2168
537	2518	2163
538	2522	2157
539	2526	2152
540	2531	2147
541	2535	2142
542	2538	2136
543	2543	2131
544	2547	2126
545	2551	2121
546	2557	2117
547	2562	2113
548	2566	2108
549	2570	2103
550	2575	2098
551	2580	2094
552	2584	2089
553	2589	2084
554	2593	2079
555	2599	2075
556	2602	2069
557	2606	2064
558	2611	2060
559	2615	2055
560	2619	2049
561	2623	2044
562	2628	2040
563	2632	2035
564	2636	2030
565	2641	2025
566	2646	2021
567	2650	2015
568	2654	2010
569	2659	2006
570	2664	2001
571	2667	1996
572	2670	1990
573	2675	1985
574	2679	1980
575	2683	1975
576	2688	1970
577	2692	1965
578	2696	1960
579	2700	1955
580	2705	1951
581	2709	1946
582	2713	1941
583	2717	1936
584	2722	1931
585	2726	1926
586	2730	1921
587	2734	1916
588	2738	1911
589	2742	1905
590	2746	1900
591	2750	1895
592	2754	1890
593	2758	1885
594	2762	1880
595	2767	1875
596	2771	1870
597	2775	1865
598	2779	1860
599	2783	1855
600	2787	1850
601	2791	1845
602	2795	1840
603	2799	1835
604	2803	1830
605	2807	1825
606	2811	1820
607	2816	1815
608	2820	1810
609	2824	1805
610	2828	1800
611	2832	1795
612	2834	1789
613	2838	1784
614	2842	1779
615	2846	1774
616	2850	1769
617	2855	1764
618	2859	1759
619	2863	1755
620	2868	1750
621	2872	1745
622	2876	1740
623	2878	1734
624	2883	1729
625	2887	1724
626	2891	1720
627	2895	1715
628	2899	1710
629	2903	1705
630	2907	1700
631	2911	1695
632	2915	1690
633	2919	1685
634	2923	1680
635	2928	1675
636	2932	1671
637	2937	1666
638	2940	1661
639	2944	1656
640	2948	1651
641	2952	1646
642	2957	1641
643	2961	1636
644	2965	1631
645	2968	1626
646	2973	1622
647	2977	1617
648	2981	1612
649	2985	1607
650	2989	1602
651	2993	1597
652	2997	1592
653	2999	1587
654	3004	1582
655	3008	1577
656	3012	1572
657	3016	1567
658	3020	1563
659	3024	1558
660	3028	1553
661	3032	1548
662	3037	1543
663	3040	1538
664	3044	1533
665	3049	1529
666	3052	1524
667	3056	1519
668	3060	1514
669	3065	1509
670	3069	1504
671	3072	1499
672	3076	1494
673	3080	1490
674	3085	1485
675	3088	1480
676	3092	1475
677	3097	1470
678	3101	1466
679	3105	1461
680	3109	1456
681	3113	1451
682	3117	1446
683	3122	1442
684	3126	1437
685	3130	1432
686	3134	1428
687	3139	1423
688	3144	1419
689	3148	1414
690	3152	1409
691	3156	1404
692	3160	1400
693	3165	1395
694	3168	1390
695	3172	1385
696	3177	1381
697	3182	1376
698	3186	1372
699	3191	1367
700	3195	1363
701	3200	1358
702	3204	1353
703	3209	1349
704	3213	1344
705	3217	1339
706	3222	1335
707	3226	1330
708	3230	1325
709	3234	1321
710	3239	1316
711	3243	1312
712	3247	1307
713	3251	1302
714	3255	1297
715	3259	1292
716	3263	1288
717	3267	1283
718	3272	1278
719	3276	1274
720	3280	1269
721	3284	1264
722	3288	1260
723	3292	1255
724	3296	1250
725	3301	1245
726	3305	1241
727	3309	1236
728	3313	1231
729	3318	1227
730	3322	1222
731	3327	1218
732	3331	1213
733	3336	1209
734	3340	1204
735	3344	1199
736	3348	1194
737	3352	1190
738	3356	1185
739	3360	1180
740	3365	1176
741	3369	1171
742	3373	1166
743	3377	1162
744	3382	1157
745	3386	1152
746	3390	1148
747	3394	1143
748	3398	1138
749	3402	1134
750	3406	1129
751	3409	1124
752	3414	1119
753	3418	1115
754	3422	1110
755	3426	1105
756	3430	1101
757	3434	1096
758	3438	1091
759	3443	1087
760	3447	1082
761	3451	1078
762	3456	1073
763	3460	1069
764	3465	1064
765	3469	1059
766	3474	1055
767	3478	1050
768	3482	1046
769	3486	1041
770	3491	1037
771	3495	1032
772	3499	1027
773	3503	1022
774	3509	1018
775	3513	1014
776	3517	1009
777	3522	1005
778	3527	1000
779	3531	996
780	3535	991
781	3540	987
782	3544	982
783	3548	977
784	3553	973
785	3558	968
786	3562	964
787	3566	959
788	3570	954
789	3574	950
790	3579	945
791	3584	941
792	3588	936
793	3592	931
794	3596	927
795	3600	922
796	3604	918
797	3608	913
798	3612	908
799	3617	904
800	3622	899
801	3626	895
802	3630	890
803	3634	886
804	3638	881
805	3643	876
806	3647	872
807	3651	867
808	3655	863
809	3659	858
810	3664	853
811	3668	849
812	3673	844
813	3677	840
814	3681	835
815	3685	831
816	3690	826
817	3694	822
818	3699	817
819	3704	813
820	3708	808
821	3713	804
822	3716	799
823	3719	794
824	3723	789
825	3727	785
826	3731	780
827	3736	776
828	3740	771
829	3745	767
830	3749	762
831	3753	757
832	3757	753
833	3761	748
834	3765	744
835	3769	739
836	3773	734
837	3777	730
838	3781	725
839	3785	721
840	3790	716
841	3794	711
842	3798	707
843	3802	702
844	3806	698
845	3810	693
846	3815	689
847	3819	684
848	3823	680
849	3827	675
850	3831	670
851	3836	666
852	3840	661
853	3844	657
854	3848	652
855	3853	648
856	3857	643
857	3861	639
858	3865	634
859	3870	630
860	3874	625
861	3878	620
862	3883	616
863	3887	611
864	3891	607
865	3895	602
866	3900	598
867	3904	593
868	3908	589
869	3912	584
870	3917	580
871	3921	575
872	3925	571
873	3929	566
874	3934	562
875	3938	557
876	3942	552
877	3946	548
878	3950	543
879	3954	539
880	3959	534
881	3964	530
882	3968	525
883	3972	521
884	3977	516
885	3981	512
886	3985	507
887	3989	503
888	3994	498
889	3998	494
890	4002	489
891	4005	485
892	4010	480
893	4013	475
894	4017	471
895	4021	466
896	4026	462
897	4030	457
898	4034	453
899	4038	448
900	4043	444
901	4047	439
902	4051	435
903	4055	430
904	4059	426
905	4063	421
906	4067	417
907	4072	412
908	4076	408
909	4080	403
910	4084	399
911	4089	394
912	4093	390
913	4097	385
914	4101	381
915	4106	376
916	4112	372
917	4116	367
918	4120	363
919	4125	358
920	4129	354
921	4133	349
922	4139	345
923	4143	340
924	4146	336
925	4151	331
926	4156	327
927	4160	322
928	4164	318
929	4170	313
930	4174	309
931	4178	304
932	4182	300
933	4187	295
934	4191	291
935	4195	286
936	4201	282
937	4205	277
938	4209	273
939	4213	268
940	4217	264
941	4221	259
942	4225	255
943	4230	250
944	4235	246
945	4239	241
946	4243	237
947	4248	233
948	4251	228
949	4255	223
950	4259	219
951	4264	215
952	4268	210
953	4272	206
954	4277	201
955	4281	197
956	4284	192
957	4288	188
958	4293	183
959	4297	179
960	4301	174
961	4305	170
962	4310	165
963	4313	161
964	4318	156
965	4322	152
966	4326	147
967	4330	143
968	4334	138
969	4338	134
970	4342	129
971	4346	125
972	4350	120
973	4354	116
974	4358	111
975	4362	107
976	4366	102
977	4371	98
978	4375	93
979	4379	89
980	4383	84
981	4387	80
982	4392	75
983	4396	71
984	4400	67
985	4404	62
986	4408	58
987	4412	53
988	4416	49
989	4421	44
990	4424	40
991	4428	35
992	4433	31
993	4437	26
994	4440	22
995	4445	17
996	4449	13
997	4453	8
998	4457	4
999	4461	0
