iter	Logloss
0	0.6897080726
1	0.6858412347
2	0.6822680564
3	0.6781747795
4	0.6748418956
5	0.6706282531
6	0.6672037549
7	0.6632656612
8	0.6590048518
9	0.6545922154
10	0.6505806155
11	0.647182463
12	0.6430628139
13	0.6399439443
14	0.6364201726
15	0.6327359534
16	0.6291373455
17	0.6260191115
18	0.6228054068
19	0.6195285225
20	0.6165986834
21	0.6135987886
22	0.6107267093
23	0.6076815181
24	0.6047172852
25	0.6019790736
26	0.5994977143
27	0.5965357592
28	0.5934315674
29	0.5907528958
30	0.5882301741
31	0.5857543538
32	0.5830038782
33	0.5803084003
34	0.5778355458
35	0.5752136302
36	0.5724803907
37	0.5704366219
38	0.5677112146
39	0.5654692192
40	0.5632896503
41	0.5608114909
42	0.5587318269
43	0.5561196558
44	0.5539754403
45	0.5511697952
46	0.5489142895
47	0.5470420492
48	0.5446833348
49	0.5422246456
50	0.5400959099
51	0.5377281227
52	0.5352984111
53	0.5337100953
54	0.5314731687
55	0.5293352103
56	0.5272834722
57	0.5248617385
58	0.5226837462
59	0.5207836079
60	0.5193166607
61	0.5176749844
62	0.5158632501
63	0.513847819
64	0.5117350259
65	0.5103536425
66	0.5084237735
67	0.5064400443
68	0.5042363198
69	0.5020044261
70	0.500454866
71	0.4986125727
72	0.4965765305
73	0.4949020294
74	0.4930556988
75	0.4913787939
76	0.4901013378
77	0.4885968275
78	0.4871358778
79	0.4855699796
80	0.4836665429
81	0.4822619197
82	0.4808032688
83	0.4792028393
84	0.4777875427
85	0.4765620305
86	0.4753841133
87	0.474101825
88	0.4727886004
89	0.4715309326
90	0.4701060634
91	0.4678669415
92	0.4665521985
93	0.4655443873
94	0.4640548876
95	0.4622944565
96	0.4607803748
97	0.4597592228
98	0.4584269756
99	0.4570283296
100	0.4559090963
101	0.4545898059
102	0.4534697419
103	0.4520395905
104	0.4502258272
105	0.4489582854
106	0.4479040672
107	0.446512477
108	0.4453198381
109	0.4441709579
110	0.4429897041
111	0.4417293051
112	0.4409010162
113	0.4393036976
114	0.4380929775
115	0.4369509879
116	0.4360083045
117	0.4344083856
118	0.4332535523
119	0.4325100655
120	0.4311698789
121	0.4301313634
122	0.4288605789
123	0.4279359583
124	0.4268773945
125	0.4256236329
126	0.4248464714
127	0.4240557322
128	0.4231167279
129	0.4220948052
130	0.4215910431
131	0.4207084655
132	0.4195745126
133	0.4184937868
134	0.4176886765
135	0.4166611083
136	0.4161003767
137	0.4153379861
138	0.4143298258
139	0.4131549955
140	0.4120924697
141	0.4111671025
142	0.4106390745
143	0.4097352915
144	0.4091563355
145	0.4083223908
146	0.4069508859
147	0.4058361534
148	0.4050054644
149	0.4039751796
150	0.403041755
151	0.402258753
152	0.4013605578
153	0.4004777397
154	0.3998985103
155	0.3990578232
156	0.3983664033
157	0.3976797516
158	0.3973447377
159	0.3964480097
160	0.3957297383
161	0.3947802721
162	0.3940253872
163	0.3932397732
164	0.3925807972
165	0.3914901689
166	0.3906631897
167	0.3899476064
168	0.3894088765
169	0.3887167221
170	0.3881246087
171	0.38745341
172	0.3867768175
173	0.3860857796
174	0.3857942177
175	0.3853541019
176	0.3844701495
177	0.3837530405
178	0.38283222
179	0.3821614134
180	0.3812753125
181	0.3804979121
182	0.3798259049
183	0.379314377
184	0.3787704657
185	0.3779433221
186	0.3774026645
187	0.3767557018
188	0.3759744932
189	0.3750342314
190	0.3741827141
191	0.3735231572
192	0.3728948604
193	0.3725187058
194	0.3720362276
195	0.3715677941
196	0.3710243816
197	0.3702837933
198	0.3692753592
199	0.3685816124
200	0.3680922257
201	0.3676382995
202	0.3669012268
203	0.3664876019
204	0.365691377
205	0.3652505305
206	0.3642790676
207	0.3638709828
208	0.3633734472
209	0.3627146369
210	0.3621535285
211	0.3619235437
212	0.3611693252
213	0.3604438207
214	0.3598291679
215	0.3592204852
216	0.3586656303
217	0.3582130024
218	0.3576360774
219	0.3572968314
220	0.3567775264
221	0.3563606458
222	0.3561378648
223	0.3555939226
224	0.35507777
225	0.3544644976
226	0.3537782036
227	0.3533716759
228	0.353083556
229	0.3526550218
230	0.3520645945
231	0.3517672076
232	0.350852498
233	0.3501673632
234	0.3494441037
235	0.3489497619
236	0.3485506911
237	0.3478861571
238	0.3474216986
239	0.3467979126
240	0.3462171477
241	0.3456403701
242	0.3454160743
243	0.3450105919
244	0.3445221788
245	0.3441361335
246	0.3436857271
247	0.3431589282
248	0.3425900468
249	0.3418320572
250	0.3414570972
251	0.340911495
252	0.3406425837
253	0.3403376463
254	0.3399668147
255	0.3395892581
256	0.3392858513
257	0.3389540707
258	0.3382332235
259	0.3378080264
260	0.3376827378
261	0.3369016729
262	0.3364543231
263	0.3358941526
264	0.3355411588
265	0.3352656348
266	0.3346298005
267	0.3343579126
268	0.3337147195
269	0.3330156681
270	0.3324788154
271	0.3322530216
272	0.3318532229
273	0.3312822605
274	0.3311251813
275	0.3305760492
276	0.3303485063
277	0.3299249244
278	0.3295724477
279	0.3292588598
280	0.3289542491
281	0.3285805056
282	0.3279563018
283	0.3279050601
284	0.3276571979
285	0.3269084684
286	0.3262057203
287	0.3258294453
288	0.3253612836
289	0.3250190353
290	0.3245066665
291	0.3240474666
292	0.3236941303
293	0.3232443463
294	0.3227485699
295	0.3223492298
296	0.3217113543
297	0.3211356194
298	0.3207155096
299	0.3202722361
300	0.3198070542
301	0.3195171975
302	0.3192090667
303	0.3188498541
304	0.3186309561
305	0.3182733681
306	0.3179554109
307	0.3176409226
308	0.3173384418
309	0.3169660861
310	0.3165503342
311	0.316179077
312	0.3157262147
313	0.3153110926
314	0.3150476413
315	0.3145800076
316	0.3140333846
317	0.3136714734
318	0.3132063447
319	0.3128477522
320	0.3124595734
321	0.3119717995
322	0.3116077046
323	0.3111861651
324	0.3105119857
325	0.3101654569
326	0.309765817
327	0.3094302546
328	0.309059172
329	0.3088295293
330	0.3087452971
331	0.3084801977
332	0.3081243844
333	0.3078007963
